,stockDate,stockOpen,stockHigh,stockLow,stockClose,adjClose,volume,stockName,est_N5
1344,2019-03-14,31.28,31.55,30.94,31.03,31.03,12090600.0,TWTR,31.741999999999997
1345,2019-03-15,31.04,31.41,30.71,31.22,31.22,17522700.0,TWTR,31.602999999999998
1346,2019-03-18,31.25,31.58,30.84,31.08,31.08,13172600.0,TWTR,31.286999999999995
1347,2019-03-19,31.15,31.5,30.88,31.27,31.27,15557400.0,TWTR,31.086000000000006
1348,2019-03-20,31.24,32.65,31.16,32.57,32.57,22373800.0,TWTR,31.177
1349,2019-03-21,32.31,32.69,32.03,32.61,32.61,13346900.0,TWTR,32.373
1350,2019-03-22,32.5,34.21,32.34,33.02,33.02,28034700.0,TWTR,33.031000000000006
1351,2019-03-25,32.83,33.3,32.28,32.59,32.59,15272300.0,TWTR,33.676
1352,2019-03-26,32.98,33.86,32.92,33.06,33.06,17252300.0,TWTR,33.339000000000006
1353,2019-03-27,32.93,33.45,31.95,32.28,32.28,13669400.0,TWTR,33.05800000000001
1354,2019-03-28,32.29,32.93,31.73,32.87,32.87,17750600.0,TWTR,32.52600000000001
1355,2019-03-29,33.1,33.24,32.47,32.88,32.88,13529300.0,TWTR,32.580999999999996
1356,2019-04-01,33.16,33.68,32.7,33.44,33.44,12499700.0,TWTR,32.853
1357,2019-04-02,33.44,33.89,33.23,33.75,33.75,11638000.0,TWTR,33.31399999999999
1358,2019-04-03,34.0,34.76,33.81,34.38,34.38,18041000.0,TWTR,34.096999999999994
1359,2019-04-04,34.7,35.14,33.9,34.42,34.42,14604100.0,TWTR,34.631
1360,2019-04-05,34.55,34.8,34.37,34.72,34.72,9571700.0,TWTR,34.980000000000004
1361,2019-04-08,34.79,35.06,34.51,34.86,34.86,10655000.0,TWTR,35.111000000000004
1362,2019-04-09,34.84,35.39,34.81,35.14,35.14,13889700.0,TWTR,35.194
1363,2019-04-10,35.26,35.27,34.51,34.75,34.75,11648800.0,TWTR,35.291999999999994
1364,2019-04-11,34.75,34.87,34.41,34.58,34.58,10982700.0,TWTR,35.102
1365,2019-04-12,34.67,34.83,34.11,34.37,34.37,12713800.0,TWTR,34.693000000000005
1366,2019-04-15,34.38,35.03,34.34,34.71,34.71,10248400.0,TWTR,34.27799999999999
1367,2019-04-16,34.84,34.99,34.23,34.46,34.46,9396300.0,TWTR,34.337999999999994
1368,2019-04-17,34.73,34.9,34.2,34.48,34.48,9023000.0,TWTR,34.43899999999999
1369,2019-04-18,34.67,34.86,34.32,34.4,34.4,9806100.0,TWTR,34.486999999999995
1370,2019-04-22,34.4,34.62,33.82,34.39,34.39,19704300.0,TWTR,34.43299999999999
1371,2019-04-23,36.93,40.53,36.91,39.77,39.77,104262000.0,TWTR,34.278
1372,2019-04-24,39.86,39.95,38.8,39.29,39.29,30266900.0,TWTR,38.659000000000006
1373,2019-04-25,39.26,40.13,38.19,38.48,38.48,26044800.0,TWTR,40.962999999999994
1374,2019-04-26,38.59,39.34,38.18,38.67,38.67,15270500.0,TWTR,41.18399999999999
1375,2019-04-29,38.63,39.97,38.63,39.78,39.78,19680000.0,TWTR,40.30099999999999
1376,2019-04-30,39.79,40.92,39.65,39.91,39.91,22912000.0,TWTR,39.017999999999994
1377,2019-05-01,40.0,40.07,39.26,39.29,39.29,14962600.0,TWTR,39.988
1378,2019-05-02,39.24,40.0,38.84,39.95,39.95,13419100.0,TWTR,40.083999999999996
1379,2019-05-03,40.48,40.82,39.96,40.8,40.8,15577100.0,TWTR,40.141000000000005
1380,2019-05-06,39.69,40.44,39.45,40.23,40.23,14517400.0,TWTR,40.57000000000001
1381,2019-05-07,39.9,40.15,38.12,38.62,38.62,19283100.0,TWTR,40.681
1382,2019-05-08,38.45,39.15,38.33,38.58,38.58,9168400.0,TWTR,39.46000000000001
1383,2019-05-09,38.11,39.02,37.82,38.79,38.79,10010700.0,TWTR,38.16
1384,2019-05-10,38.68,39.16,37.86,38.45,38.45,12259000.0,TWTR,37.703
1385,2019-05-13,37.5,37.64,36.37,36.59,36.59,16829700.0,TWTR,37.91700000000001
1386,2019-05-14,37.04,37.52,36.6,36.93,36.93,11125100.0,TWTR,36.949000000000005
1387,2019-05-15,36.67,38.14,36.64,37.9,37.9,11523100.0,TWTR,36.21800000000002
1388,2019-05-16,38.11,38.72,38.05,38.3,38.3,10104400.0,TWTR,36.742000000000004
1389,2019-05-17,37.83,38.13,37.47,37.5,37.5,9090300.0,TWTR,37.937
1390,2019-05-20,37.12,37.73,36.92,37.15,37.15,9411900.0,TWTR,38.401
1391,2019-05-21,37.47,37.86,37.33,37.47,37.47,8861400.0,TWTR,37.568
1392,2019-05-22,37.41,39.32,37.24,38.58,38.58,21105400.0,TWTR,37.06100000000001
1393,2019-05-23,38.15,38.29,36.8,37.19,37.19,18398800.0,TWTR,37.958999999999996
1394,2019-05-24,37.47,37.85,37.27,37.41,37.41,9303900.0,TWTR,37.821
1395,2019-05-28,37.41,38.04,37.23,37.29,37.29,11770300.0,TWTR,37.63199999999999
1396,2019-05-29,37.02,37.4,36.52,36.85,36.85,12270300.0,TWTR,37.12899999999999
1397,2019-05-30,37.0,37.29,36.6,37.14,37.14,7413100.0,TWTR,36.456
1398,2019-05-31,36.62,36.96,36.3,36.44,36.44,8556100.0,TWTR,36.97800000000001
1399,2019-06-03,36.45,36.9,34.04,34.43,34.43,22217100.0,TWTR,36.399
1400,2019-06-04,35.18,36.15,34.97,36.1,36.1,15357100.0,TWTR,34.590999999999994
1401,2019-06-05,36.5,36.71,35.95,36.33,36.33,12798700.0,TWTR,34.928999999999995
1402,2019-06-06,36.26,36.75,35.96,36.59,36.59,8863000.0,TWTR,35.5
1403,2019-06-07,36.87,38.31,36.8,37.93,37.93,15399700.0,TWTR,36.638
1404,2019-06-10,38.35,38.64,37.62,37.64,37.64,10036400.0,TWTR,38.523
1405,2019-06-11,38.09,38.26,36.85,37.21,37.21,9528600.0,TWTR,38.322
1406,2019-06-12,37.13,37.62,37.05,37.49,37.49,6793300.0,TWTR,37.983000000000004
1407,2019-06-13,37.04,37.04,35.76,36.34,36.34,21679400.0,TWTR,37.696
1408,2019-06-14,36.36,36.49,36.04,36.15,36.15,7791100.0,TWTR,36.32300000000001
1409,2019-06-17,36.26,36.68,36.11,36.44,36.44,7896000.0,TWTR,35.811
1410,2019-06-18,36.71,37.51,36.55,36.65,36.65,12705500.0,TWTR,35.861999999999995
1411,2019-06-19,36.63,36.68,35.81,36.29,36.29,12059700.0,TWTR,36.14
1412,2019-06-20,36.35,36.65,35.33,35.44,35.44,19676100.0,TWTR,36.494
1413,2019-06-21,35.5,35.75,34.99,35.02,35.02,12853600.0,TWTR,35.723
1414,2019-06-24,35.19,35.67,34.82,35.58,35.58,9216800.0,TWTR,34.753
1415,2019-06-25,35.52,35.73,34.57,34.72,34.72,11196400.0,TWTR,34.77300000000001
1416,2019-06-26,34.98,35.38,34.92,35.22,35.22,8744800.0,TWTR,34.51
1417,2019-06-27,35.44,35.64,34.61,34.75,34.75,12655900.0,TWTR,34.974
1418,2019-06-28,34.75,34.99,34.28,34.9,34.9,15505300.0,TWTR,34.788
1419,2019-07-01,35.5,36.25,35.22,36.08,36.08,14416800.0,TWTR,34.635
1420,2019-07-02,36.17,36.6,35.89,36.22,36.22,8393200.0,TWTR,35.854
1421,2019-07-03,36.29,36.39,35.94,36.02,36.02,5372600.0,TWTR,36.433
1422,2019-07-05,36.0,36.35,35.6,36.25,36.25,6084800.0,TWTR,36.752
